content,cleaned_text,processed_text,final_sentiment,date,username,mentions_mtn,mentions_airtel
MTN network in Kampala is terrible today! No internet for hours #MTNUganda,mtn network in kampala is terrible today no internet for hours mtnuganda,kampala terrible today internet hours mtnuganda,negative,2024-10-20,user1,True,False
Airtel mobile money charges are too high! When will they reduce fees?,airtel mobile money charges are too high when will they reduce fees,money charge high reduce fee,negative,2024-10-19,user2,False,True
Very frustrated with MTN customer service. Been on hold for 30 minutes!,very frustrated with mtn customer service been on hold for minutes,frustrated customer hold minutes,negative,2024-10-18,user3,True,False
Airtel data bundles finish too quickly. Something is wrong with their billing,airtel data bundles finish too quickly something is wrong with their billing,data bundle finish quickly something wrong billing,negative,2024-10-17,user4,False,True
MTN network down in Entebbe area. This is becoming too frequent @MTNUganda,mtn network down in entebbe area this is becoming too frequent,entebbe area becoming frequent,neutral,2024-10-19,user5,True,False
Great service from Airtel today! Their 4G network is super fast in Kampala,great service from airtel today their g network is super fast in kampala,great today super fast kampala,positive,2024-10-18,user6,False,True
MTN mobile money saved me today! Easy and quick transaction. #MoMo,mtn mobile money saved me today easy and quick transaction momo,money saved today easy quick transaction momo,negative,2024-10-17,user7,True,False
Airtel customer care was very helpful with my SIM swap. Thank you!,airtel customer care was very helpful with my sim swap thank you,customer care helpful sim swap,positive,2024-10-19,user8,False,True
MTN double data promo is amazing! Great value for money,mtn double data promo is amazing great value for money,double data promo amazing great value money,positive,2024-10-16,user9,True,False
Airtel network improvement in Gulu is noticeable. Good work!,airtel network improvement in gulu is noticeable good work,improvement gulu noticeable good work,positive,2024-10-18,user10,False,True
Just bought a new Airtel SIM card in Kampala,just bought a new airtel sim card in kampala,bought new sim card kampala,positive,2024-10-19,user11,False,True
MTN is having a promotion on data bundles this week,mtn is having a promotion on data bundles this week,promotion data bundle week,neutral,2024-10-17,user12,True,False
Airtel Uganda announced new CEO today,airtel uganda announced new ceo today,announced new ceo today,negative,2024-10-18,user13,False,True
Mobile money transactions increased by 20% according to UCC report,mobile money transactions increased by according to ucc report,money transaction increased according ucc report,negative,2024-10-16,user14,False,False
Bad experience with Airtel coverage in Mbarara. Very poor service!,bad experience with airtel coverage in mbarara very poor service,bad experience coverage mbarara poor,negative,2024-10-15,user_15,False,True
